message,sending_time,sender,status,price,sent,viewed,purchased,earnings,withdrawn_by,message_id,source_file,loaded_at
"Did you already cum without me?! 😒 𝙒𝙤𝙬… 𝙨𝙤 𝙄 𝙬𝙖𝙨𝙣’𝙩 𝙚𝙫𝙚𝙣 𝙬𝙤𝙧𝙩𝙝 𝙩𝙝𝙚 𝙬𝙖𝙞𝙩??
💦 𝗕𝗲𝘁 𝘆𝗼𝘂 𝗰𝗮𝗻’𝘁 𝗹𝗮𝘀𝘁 𝘁𝗵𝗿𝗼𝘂𝗴𝗵 𝘁𝗵𝗶𝘀 𝗼𝗻𝗲 𝘄𝗶𝘁𝗵𝗼𝘂𝘁 𝗰𝘂𝗺𝗺𝗶𝗻𝗴 𝗮𝗴𝗮𝗶𝗻 😏","Sep 13, 2025 at 03:59 PM",SD Mochi,sent,5.00,50356,467,2,10.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"You’d find me waiting in your shirt and nothing else. What would you do first, babe? 😈","Sep 13, 2025 at 03:15 PM",SD Mochi,sent,-,50322,486,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"My lifetime VIP is $1000 but for you? I’m feeling generous😘Just $50 and you’ll get full VIP access BJ, JOI, solo play, anal, feet, cumshots even my private tapes and because I like spoiling you, I’m throwing in exclusive pics and vids you won’t find anywhere else👄 Hurry baby once this deal’s gone it’s not coming back","Sep 13, 2025 at 02:38 PM",Julius Garcia,unsent,-,50729,213,0,0.0,Julius Garcia,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Imagine me sending you panties soaked in my scent 💦 Would you sniff them right away? 👀,"Sep 13, 2025 at 12:15 PM",SD Mochi,sent,-,50319,575,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🔥 I’m on my knees… GIVE IT TO ME 😩💦
NO MORE WAITING!!!.
𝙸 𝙽𝙴𝙴𝙳 𝚢𝚘𝚞𝚛 𝚌𝚘𝚌𝚔 𝙳𝙾𝚆𝙽 𝙼𝚈 𝚃𝙷𝚁𝙾𝙰𝚃 𝙽𝙾𝚆—
💦 𝙰𝚛𝚎 𝚢𝚘𝚞 𝚐𝚘𝚗𝚗𝚊 𝚋𝚎 𝚊 𝚐𝚘𝚘𝚍 𝚋𝚘𝚢 𝚊𝚗𝚍 𝚏𝚎𝚎𝚍 𝚖𝚎? 😈","Sep 13, 2025 at 12:09 PM",SD Mochi,sent,7.00,50355,587,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"😩 MY TIGHT HOLES ARE BEGGING FOR YOU, BABY 😩
💦 𝑰 𝒏𝒆𝒆𝒅 𝒚𝒐𝒖 𝒕𝒐 𝒇𝒊𝒍𝒍 𝒂𝒍𝒍 𝒕𝒉𝒓𝒆𝒆 𝒐𝒇 𝒕𝒉𝒆𝒎… 🍩🐱👅
🔥 ASS. PUSSY. THROAT.
💖 Can you handle that, Daddy? Or is it too much pussy for you to take? 😏","Sep 13, 2025 at 10:50 AM",SD Mochi,sent,15.00,50357,631,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"📸 𝘠𝘖𝘜 𝘖𝘒𝘈𝘠 𝘞𝘐𝘛𝘏 𝘔𝘌 𝘋𝘜𝘔𝘗𝘐𝘕𝘎 𝘛𝘏𝘐𝘚 𝘖𝘕 𝘠𝘖𝘜? 😏
I just went through my 𝙝𝙤𝙩𝙩𝙚𝙨𝙩, 𝙣𝙖𝙪𝙜𝙝𝙩𝙞𝙚𝙨𝙩, 𝙢𝙤𝙨𝙩 𝙨𝙚𝙘𝙧𝙚𝙩 vids &amp; pics and damn… I forgot how good these are.
🔥 Close-ups, mirror shots, and full spread POVs that never should’ve left my phone.
💋 I’ll send it, but only if you’re ready for this. 👀💦","Sep 13, 2025 at 10:02 AM",SD Mochi,sent,12.00,50356,656,1,12.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Bet you’re busy, but I’d still sneak under your desk and taste you. Could you focus with me down there? 👅","Sep 13, 2025 at 09:15 AM",SD Mochi,sent,-,50321,676,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"babe! would you let me come closer to you, feel your throb, trace my fingers along your dick and suck it like a freak until you forget everything else exists??🍆","Sep 13, 2025 at 09:08 AM",Klint Senarillos,unsent,-,46171,226,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🐰 𝘍𝘈𝘚𝘛 𝘏𝘈𝘙𝘋 𝘕𝘖 𝘏𝘖𝘓𝘋𝘐𝘕𝘎 𝘉𝘈𝘊𝘒… 𝘓𝘌𝘛’𝘚 𝘛𝘌𝘚𝘛 𝘛𝘏𝘌 𝘏𝘌𝘈𝘋𝘉𝘖𝘈𝘙𝘋 😈💥
I need to feel you deep, 𝙛𝙖𝙨𝙩, 𝙧𝙤𝙪𝙜𝙝… 𝙣𝙤 𝙨𝙡𝙤𝙬 𝙨𝙩𝙧𝙤𝙠𝙚𝙨, 𝙟𝙪𝙨𝙩 𝙥𝙪𝙧𝙚 𝙝𝙖𝙧𝙙 𝙛𝙪𝙘𝙠𝙞𝙣𝙜.
🔥 Think you can make me crumble underneath you? Or are you the one who’s gonna break first? 😏💦","Sep 13, 2025 at 07:59 AM",SD Mochi,sent,17.00,50359,732,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Woke up dripping… who’s bringing me breakfast in bed? 🍳💦,"Sep 13, 2025 at 07:31 AM",SD Mochi,unsent,-,50324,330,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"I wish I was straddling you while you’re still half asleep. Would you let me grind slowly on you, baby? 💋","Sep 13, 2025 at 06:18 AM",SD Mochi,unsent,-,50325,370,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🌅 𝙈𝙊𝙍𝙉𝙄𝙉𝙂 𝙃𝙀𝘼𝙏… 𝙄 𝙒𝘼𝙎 𝙏𝙊𝙊 𝘿𝙀𝙎𝙋𝙀𝙍𝘼𝙏𝙀 𝙏𝙊 𝙒𝘼𝙄𝙏 😩💦
I woke up soaked, still feeling every little detail of the dream I just had about you. 😏
🔥 My hands started wandering, my fingers finding just the right spot, my hips moving before I could even think…
💦 I didn’t stop at just once. Wanna watch me go over and over again? 😘🔥","Sep 13, 2025 at 05:55 AM",SD Mochi,sent,15.00,50361,802,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🔥 𝙃𝙀 𝙏𝙃𝙊𝙐𝙂𝙃𝙏 𝙏𝙃𝙀𝙎𝙀 𝙒𝙀𝙍𝙀 𝙅𝙐𝙎𝙏 𝙁𝙊𝙍 𝙃𝙄𝙈… 𝙉𝙊𝙏 𝘼𝙉𝙔𝙈𝙊𝙍𝙀 😈
He swore no one else would see them, but I play by my own rules.
💋 Every naughty, private pic &amp; vid is yours now.
💦 Do you want to see what used to be his little secret? Unlock now, baby... 😘","Sep 13, 2025 at 03:56 AM",SD Mochi,unsent,9.00,50359,58,0,0.0,Klint Senarillos,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
I bet you’re still awake… hard and restless. Want me to drain that for you? 🍆,"Sep 13, 2025 at 03:06 AM",SD Mochi,unsent,-,50325,173,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Can’t sleep… all I can think about is your cock stretching me wide. How rough would you take me? 😏,"Sep 13, 2025 at 02:20 AM",SD Mochi,unsent,-,50328,224,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"💵 𝔾𝕌𝔸ℝ𝔸ℕ𝕋𝔼𝔼𝔻 𝔽𝕀ℝ𝕊𝕋-ℂ𝕃𝔸𝕊𝕊 𝕍𝕀𝔼𝕎: 𝟝 ℙ𝕀ℂ𝕊 𝔽𝕆ℝ $𝟝 😏💦
🔥 Zoomed in, full view, not a single detail hidden.
💋 Bet you can’t last more than a minute looking at these… or will you have to tap out early?
Are you ready for the challenge? 💦","Sep 13, 2025 at 01:37 AM",SD Mochi,sent,5.00,50364,918,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Could you handle me if I crawled on top of you right now? I’d ride you until neither of us could breathe 😈,"Sep 13, 2025 at 12:25 AM",SD Mochi,unsent,-,50331,324,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🚨 Only sending this to 10 of you 🚨 
This bundle has some of my hottest moments, things I don’t usually show… but I’m in a giving mood 😏 First come, first served. Once it’s gone, it’s never coming back.","Sep 12, 2025 at 11:52 PM",SD Mochi,sent,6.00,50366,962,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"I crave getting facefucked so deep… you’d enjoy watching me drool, huh? 🙈💦","Sep 12, 2025 at 11:11 PM",SD Mochi,unsent,-,50330,386,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"You ever crave something so bad it keeps you up at night? 😈 I got a little carried away before bed, and let’s just say… things got messy 💦 
Only the real ones get to see this—don’t be the last one to unlock it!","Sep 12, 2025 at 10:07 PM",SD Mochi,unsent,18.00,50365,440,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
I can still feel my toy stretching my asshole… bet your cock would feel better 💋,"Sep 12, 2025 at 09:09 PM",SD Mochi,unsent,-,50332,480,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Imagine unzipping me the second you get home. How fast would you fuck me against the door, babe? 🏠","Sep 12, 2025 at 08:20 PM",SD Mochi,unsent,-,50333,507,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"❌ TOO FILTHY TO STAY UP LONG… ⚠️💦 
My face is buried between my own thighs… and I just keep going.
💦 The wet sounds, the moans, the way my body responds…
💦 This is real. Uncut. You’re getting every second.

👀 Unlock &amp; see me take myself further than ever before.","Sep 12, 2025 at 07:45 PM",SD Mochi,sent,13.00,50368,1076,1,13.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Dinner or dessert first? 😈 Because I’d rather be spread on the table than food, baby 👄","Sep 12, 2025 at 06:23 PM",SD Mochi,unsent,-,50330,563,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
First 6 to send their best dick pics get a FREE DICKRATE 😈,"Sep 12, 2025 at 05:14 PM",Vash,unsent,-,46540,183,0,0.0,Vash,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
You’d catch me stroking myself in the car just waiting for you. What would you do if you caught me? 🚗,"Sep 12, 2025 at 04:21 PM",SD Mochi,unsent,-,50327,651,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Hey Daddy, I’m in one of those moods and I can’t stop thinking about how good you make me feel. I’ve got something extra naughty I want to show you today but it’s way too hot for here 🔥. Message me if you want a custom, or let’s hop on VC so I can make it all about you 💋","Sep 12, 2025 at 03:41 PM",Vash,unsent,-,47799,285,0,0.0,Vash,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🍑 YOU WON’T BE ABLE TO LOOK AWAY FROM THIS VIEW…🔥 
💥 I arched my back, spread my cheeks, let my fingers run over my soft, round skin…
💥 The camera is locked on, zoomed in, capturing every bounce, every jiggle, every little tease.
💥 I know exactly how to make you ache for me.

🔓 Unlock &amp; see my favorite view of myself.","Sep 12, 2025 at 03:39 PM",SD Mochi,sent,7.00,50362,1178,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
I’m in a mood right now. Send me your best shot 🍆😈 Let’s see what you’re working with 😏,"Sep 12, 2025 at 02:37 PM",Vash,unsent,-,46666,179,0,0.0,Vash,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Imagine me between your legs, moaning while I wrap my lips around you 👄","Sep 12, 2025 at 02:16 PM",SD Mochi,unsent,-,50325,225,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🔗 I’M IN FULL CONTROL… AND YOU HAVE TO OBEY ME 😈🔥 
""Stroke slow. Breathe deep. Keep your hands exactly where I tell you.""

💥 I want to hear you moan… I want to hear you struggle to hold back… but you don’t get to finish until I say so.
💥 I’ll tell you exactly what to do, exactly how to touch yourself, exactly when to let go.

💦 Unlock &amp; follow every filthy command.","Sep 12, 2025 at 01:58 PM",SD Mochi,sent,14.00,50358,1227,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"I want to be entertained. Send me your best🍆, and maybe I’ll let you know if it’s worth my time🙈","Sep 12, 2025 at 12:25 PM",Vash,unsent,-,46664,222,0,0.0,Vash,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🔥 I DIDN’T EVEN KNOW I COULD BEND LIKE THIS… 😈💦 
I arched my back, spread my legs wider than ever, let my hands explore every inch of myself.
💦 My hips rolled, my body opened up, and I felt everything deeper.
💦 You’ve never seen me like this before.

💥 Unlock &amp; see what I did when I pushed my limits.","Sep 12, 2025 at 12:03 PM",SD Mochi,sent,14.00,50357,1261,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🎥  I WOKE UP SOAKED… SO I GRABBED MY FAVORITE TOY 💦 
💥 The second I slid it inside, my breath caught, my thighs clenched, my moans got louder.
💥 I wasn’t planning on recording… but I needed to share this.

👀 Unlock &amp; wake up with me. 💦","Sep 12, 2025 at 11:53 AM",SD Mochi,sent,23.00,50357,1269,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"By now, I’d be on my knees begging to taste you. How long would you make me stay down there? 👄","Sep 12, 2025 at 11:13 AM",SD Mochi,unsent,-,50322,361,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🍆👯‍♀️ RARE BESTIE BJ &amp; DEEPTHROAT 💦🔥
New &amp; UNSEEN 👀 Me &amp; my bestie take turns gagging on a MONSTER dildo 😈🍒
Sloppy, intense, dripping—our throats fighting to take it ALL the way down 🤤💋
You won’t find a session like this anywhere else… this one’s a first, Daddy 🔥🍆

15 MINS VID","Sep 12, 2025 at 11:02 AM",SD Mochi,sent,35.00,50358,1297,1,35.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"😱 FORBIDDEN FILES LEAK 😱

This feels almost too dirty to share… my rarest tapes EVER 😩🔥 Worth $450, but I’m letting them go for 98% OFF for a few hours only 🚨
Unlock and prove you’re one of my most loyal fans — I’ll drop something FREE on top just to show you how much you turn me on 😏💋","Sep 12, 2025 at 09:59 AM",SD Mochi,sent,9.00,50358,1313,2,18.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Ever tried fucking someone in the shower before heading out?🚿 I’d make sure your whole day smelled like me 💗,"Sep 12, 2025 at 09:17 AM",SD Mochi,unsent,-,50323,153,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"💦 Unseen Filthy Fuck Drop 😏🔥
He split me wide open with every deep thrust 🍆💣 I was dripping, moaning, begging for more while he used me like his perfect fucktoy 🤤💋
This tape’s so filthy you’ll wanna watch me get wrecked again &amp; again 😈👅","Sep 12, 2025 at 08:04 AM",SD Mochi,sent,24.00,50358,1362,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
If I bent over the table right now… would you fuck me before work? 😈,"Sep 12, 2025 at 07:13 AM",SD Mochi,unsent,-,50325,240,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
Been fantasizing about your hard cock all day… How would you fuck my wet pussy if we were alone?,"Sep 12, 2025 at 06:55 AM",Klint Senarillos,unsent,-,46300,87,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🚨🤭 𝑼𝑵𝑺𝑬𝑬𝑵 𝑩𝑶𝑼𝑵𝑪𝒀 𝑻𝑰𝑻𝑺 𝑫𝑹𝑶𝑷 🤭🚨
You’ve NEVER seen me like this before… tits bouncing in your face, nipples perky, me moaning like a bad girl caught on tape 😏🍒This rare solo is hot AF &amp; fresh off my cam 🎥💦
Snag it NOW for 50% OFF before I lock it away 💎","Sep 12, 2025 at 06:02 AM",SD Mochi,sent,12.00,50358,1396,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
You’d feel me dripping before breakfast even started. Would you eat me clean first? 🍑,"Sep 12, 2025 at 05:15 AM",SD Mochi,unsent,-,50322,158,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🔥 𝑻𝑶𝑶𝑲 𝑴𝒀 𝑬𝑿’𝑺 𝑩𝑾𝑪 &amp; 𝑪𝑶𝑼𝑳𝑫𝑵’𝑻 𝑾𝑨𝑳𝑲 𝑨𝑭𝑻𝑬𝑹 🥵💦 I was feeling too good after brunch… So I hit record when I knew things were about to get filthy 😈 👅🍆 

💦 Messy throat-fucking with deep strokes &amp; moans 🫦 POV angles so close you’ll feel like you were the one stretching me 🍑 Bent over the couch, taking every inch while dripping on the sheets 😮‍💨 No script, no breaks—just raw, sloppy, unplanned fuck energy 

This was never meant to be filmed… but I couldn’t help myself 😏 Unlock it now and watch my ex’s BWC ruin me like only he knew how🍆 Bet you’ll cum before I do 😘💦","Sep 12, 2025 at 03:56 AM",SD Mochi,sent,19.00,50347,1430,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
I bet you’re still awake… hard and restless. Want me to drain that for you? 🍆,"Sep 12, 2025 at 03:16 AM",SD Mochi,unsent,-,50284,140,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"Imagine me riding your cock, moaning loud just for you 👄","Sep 12, 2025 at 02:15 AM",SD Mochi,unsent,-,50253,193,0,0.0,SD Mochi,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
"🍆💋 STEP-SIS SUCK SESSION💦🔥
Brand new &amp; never seen 👀 Watch me teach my step-sis how to take a fat cock deep, sloppy &amp; dripping 🤤🍒","Sep 12, 2025 at 01:36 AM",SD Mochi,sent,17.00,50204,1458,0,0.0,,,ALLTIME_MASS_MESSAGE_STATS - DAILY.MASS.MESSAGE.STATS(Gmail-etl adds pge name).csv,2025-09-15T22:39:34.140491Z
